ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,species,direction
GO:0016323,basolateral plasma membrane,15/330,259/17418,0.0579150579150579,3.05686205686206,4.63454485597867,0.00013212049656467,0.0306810484799383,0.0299004968360147,ENSG00000160801/ENSG00000174669/ENSG00000176945/ENSG00000101187/ENSG00000103034/ENSG00000112759/ENSG00000123191/ENSG00000124839/ENSG00000146477/ENSG00000150594/ENSG00000168067/ENSG00000168135/ENSG00000196517/ENSG00000198743/ENSG00000135046,15,Homo sapiens,up
GO:0009925,basal plasma membrane,16/330,293/17418,0.0546075085324232,2.88228358672045,4.51545588360337,0.000156936309360298,0.0306810484799383,0.0299004968360147,ENSG00000134830/ENSG00000160801/ENSG00000174669/ENSG00000176945/ENSG00000101187/ENSG00000103034/ENSG00000112759/ENSG00000123191/ENSG00000124839/ENSG00000146477/ENSG00000150594/ENSG00000168067/ENSG00000168135/ENSG00000196517/ENSG00000198743/ENSG00000135046,16,Homo sapiens,up
GO:0045178,basal part of cell,16/330,312/17418,0.0512820512820513,2.70675990675991,4.22740175834551,0.000318638893657947,0.0415292691400857,0.0404727296505883,ENSG00000134830/ENSG00000160801/ENSG00000174669/ENSG00000176945/ENSG00000101187/ENSG00000103034/ENSG00000112759/ENSG00000123191/ENSG00000124839/ENSG00000146477/ENSG00000150594/ENSG00000168067/ENSG00000168135/ENSG00000196517/ENSG00000198743/ENSG00000135046,16,Homo sapiens,up
GO:0045177,apical part of cell,41/649,465/17418,0.0881720430107527,2.36638003876932,5.87530134103291,3.10948009936115e-07,0.000136506176361954,0.000125688458753124,ENSG00000070831/ENSG00000089057/ENSG00000114573/ENSG00000138792/ENSG00000186575/ENSG00000001626/ENSG00000006611/ENSG00000007062/ENSG00000074410/ENSG00000104537/ENSG00000106688/ENSG00000125257/ENSG00000173702/ENSG00000185499/ENSG00000198648/ENSG00000053918/ENSG00000067606/ENSG00000075651/ENSG00000076351/ENSG00000082482/ENSG00000095203/ENSG00000100170/ENSG00000135218/ENSG00000135517/ENSG00000137491/ENSG00000142583/ENSG00000157168/ENSG00000158445/ENSG00000162105/ENSG00000162692/ENSG00000164638/ENSG00000167306/ENSG00000169252/ENSG00000169860/ENSG00000170498/ENSG00000172005/ENSG00000188487/ENSG00000213853/ENSG00000259207/ENSG00000163406/ENSG00000170482,41,Homo sapiens,down
GO:0016324,apical plasma membrane,34/649,400/17418,0.085,2.28124807395994,5.09993221184219,7.09526543103457e-06,0.00155741076211209,0.00143399048711436,ENSG00000089057/ENSG00000114573/ENSG00000138792/ENSG00000001626/ENSG00000007062/ENSG00000074410/ENSG00000104537/ENSG00000106688/ENSG00000125257/ENSG00000173702/ENSG00000185499/ENSG00000198648/ENSG00000053918/ENSG00000067606/ENSG00000075651/ENSG00000076351/ENSG00000082482/ENSG00000100170/ENSG00000135218/ENSG00000135517/ENSG00000137491/ENSG00000142583/ENSG00000157168/ENSG00000158445/ENSG00000162105/ENSG00000164638/ENSG00000169252/ENSG00000169860/ENSG00000170498/ENSG00000172005/ENSG00000213853/ENSG00000259207/ENSG00000163406/ENSG00000170482,34,Homo sapiens,down
GO:0016323,basolateral plasma membrane,43/742,303/19137,0.141914191419142,3.6601238290945,9.37409871258164,1.66129572880339e-13,4.4187773542014e-11,4.02249146953433e-11,ENSMUSG00000000303/ENSMUSG00000018459/ENSMUSG00000021135/ENSMUSG00000021490/ENSMUSG00000023828/ENSMUSG00000027376/ENSMUSG00000028435/ENSMUSG00000030834/ENSMUSG00000030963/ENSMUSG00000032373/ENSMUSG00000033770/ENSMUSG00000044708/ENSMUSG00000054889/ENSMUSG00000063796/ENSMUSG00000079262/ENSMUSG00000022865/ENSMUSG00000090877/ENSMUSG00000091971/ENSMUSG00000030237/ENSMUSG00000022512/ENSMUSG00000053862/ENSMUSG00000004655/ENSMUSG00000015243/ENSMUSG00000016493/ENSMUSG00000020122/ENSMUSG00000024304/ENSMUSG00000024597/ENSMUSG00000027340/ENSMUSG00000029999/ENSMUSG00000030516/ENSMUSG00000031613/ENSMUSG00000034462/ENSMUSG00000038526/ENSMUSG00000039908/ENSMUSG00000048120/ENSMUSG00000049044/ENSMUSG00000057722/ENSMUSG00000104445/ENSMUSG00000030762/ENSMUSG00000022797/ENSMUSG00000030302/ENSMUSG00000041698/ENSMUSG00000067144,43,Mus musculus,up
GO:0045178,basal part of cell,47/742,357/19137,0.131652661064426,3.39546762101067,9.17601799903148,2.06003606256475e-13,4.4187773542014e-11,4.02249146953433e-11,ENSMUSG00000000303/ENSMUSG00000018459/ENSMUSG00000021135/ENSMUSG00000021490/ENSMUSG00000023828/ENSMUSG00000027376/ENSMUSG00000028435/ENSMUSG00000030382/ENSMUSG00000030834/ENSMUSG00000030963/ENSMUSG00000032373/ENSMUSG00000033770/ENSMUSG00000036960/ENSMUSG00000044708/ENSMUSG00000045545/ENSMUSG00000054889/ENSMUSG00000063796/ENSMUSG00000079262/ENSMUSG00000022865/ENSMUSG00000090877/ENSMUSG00000091971/ENSMUSG00000030237/ENSMUSG00000022512/ENSMUSG00000053862/ENSMUSG00000004655/ENSMUSG00000006611/ENSMUSG00000015243/ENSMUSG00000016493/ENSMUSG00000020122/ENSMUSG00000024304/ENSMUSG00000024597/ENSMUSG00000027340/ENSMUSG00000029999/ENSMUSG00000030516/ENSMUSG00000031613/ENSMUSG00000034462/ENSMUSG00000038526/ENSMUSG00000039908/ENSMUSG00000048120/ENSMUSG00000049044/ENSMUSG00000057722/ENSMUSG00000104445/ENSMUSG00000030762/ENSMUSG00000022797/ENSMUSG00000030302/ENSMUSG00000041698/ENSMUSG00000067144,47,Mus musculus,up
GO:0009925,basal plasma membrane,45/742,335/19137,0.134328358208955,3.46447680733797,9.13950663601519,3.30300941618785e-13,4.72330346514862e-11,4.29970699440593e-11,ENSMUSG00000000303/ENSMUSG00000018459/ENSMUSG00000021135/ENSMUSG00000021490/ENSMUSG00000023828/ENSMUSG00000027376/ENSMUSG00000028435/ENSMUSG00000030382/ENSMUSG00000030834/ENSMUSG00000030963/ENSMUSG00000032373/ENSMUSG00000033770/ENSMUSG00000036960/ENSMUSG00000044708/ENSMUSG00000054889/ENSMUSG00000063796/ENSMUSG00000079262/ENSMUSG00000022865/ENSMUSG00000090877/ENSMUSG00000091971/ENSMUSG00000030237/ENSMUSG00000022512/ENSMUSG00000053862/ENSMUSG00000004655/ENSMUSG00000015243/ENSMUSG00000016493/ENSMUSG00000020122/ENSMUSG00000024304/ENSMUSG00000024597/ENSMUSG00000027340/ENSMUSG00000029999/ENSMUSG00000030516/ENSMUSG00000031613/ENSMUSG00000034462/ENSMUSG00000038526/ENSMUSG00000039908/ENSMUSG00000048120/ENSMUSG00000049044/ENSMUSG00000057722/ENSMUSG00000104445/ENSMUSG00000030762/ENSMUSG00000022797/ENSMUSG00000030302/ENSMUSG00000041698/ENSMUSG00000067144,45,Mus musculus,up
GO:0016324,apical plasma membrane,48/742,462/19137,0.103896103896104,2.67959533727728,7.3396099468823,5.57949898651851e-10,5.9840126630411e-08,5.44735295789044e-08,ENSMUSG00000007989/ENSMUSG00000021490/ENSMUSG00000023828/ENSMUSG00000025243/ENSMUSG00000027070/ENSMUSG00000027202/ENSMUSG00000027376/ENSMUSG00000028238/ENSMUSG00000028444/ENSMUSG00000029700/ENSMUSG00000030834/ENSMUSG00000030963/ENSMUSG00000032373/ENSMUSG00000033770/ENSMUSG00000036083/ENSMUSG00000041329/ENSMUSG00000041644/ENSMUSG00000043760/ENSMUSG00000044708/ENSMUSG00000052373/ENSMUSG00000063796/ENSMUSG00000066072/ENSMUSG00000090877/ENSMUSG00000091971/ENSMUSG00000028712/ENSMUSG00000028715/ENSMUSG00000022512/ENSMUSG00000024511/ENSMUSG00000004655/ENSMUSG00000020122/ENSMUSG00000024304/ENSMUSG00000024597/ENSMUSG00000027276/ENSMUSG00000027340/ENSMUSG00000027962/ENSMUSG00000030516/ENSMUSG00000038526/ENSMUSG00000039166/ENSMUSG00000039529/ENSMUSG00000039908/ENSMUSG00000041794/ENSMUSG00000044393/ENSMUSG00000049044/ENSMUSG00000030762/ENSMUSG00000023073/ENSMUSG00000029188/ENSMUSG00000030302/ENSMUSG00000067144,48,Mus musculus,up
GO:0030057,desmosome,10/742,32/19137,0.3125,8.05972035040431,8.02724658356023,2.14847843988903e-07,1.84339450142478e-05,1.67807473936595e-05,ENSMUSG00000000303/ENSMUSG00000026413/ENSMUSG00000034607/ENSMUSG00000054889/ENSMUSG00000059898/ENSMUSG00000019851/ENSMUSG00000024304/ENSMUSG00000024331/ENSMUSG00000044393/ENSMUSG00000079243,10,Mus musculus,up
