organelle,human_ensembl,unique_species,species_list,fisher_stat,fisher_p,fisher_padj,direction_conserved
Chloroplast/Plastid,ENSG00000125656,5,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster",1256.06956624168,2.56004394858514e-227,1.70669596572342e-226,up
Chloroplast/Plastid,ENSG00000065057,6,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",178.850236157548,3.54683279467575e-18,4.43354099334468e-18,up
Chloroplast/Plastid,ENSG00000145020,6,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",1215.92326032893,5.75080742199357e-219,2.30032296879743e-218,up
Chloroplast/Plastid,ENSG00000144381;ENSG00000144381,1,"Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana",1053.93319851228,1.92973758405235e-224,9.64868792026177e-224,up
Chloroplast/Plastid,ENSG00000135972,6,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",103.144253583257,6.62514951843525e-06,6.9738415983529e-06,mixed
Chloroplast/Plastid,ENSG00000253598,3,"Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",269.695224041241,2.08134618674148e-39,2.97335169534497e-39,up
Chloroplast/Plastid,ENSG00000066926,5,"Mus musculus,Mus musculus,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Mus musculus,Arabidopsis thaliana,Mus musculus,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",610.480620588284,1.40753790304642e-105,2.81507580609284e-105,up
Chloroplast/Plastid,ENSG00000188501,5,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Mus musculus,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Mus musculus,Homo sapiens,Drosophila melanogaster",171.093969303997,6.8485775596067e-17,8.05715007012553e-17,mixed
Chloroplast/Plastid,ENSG00000117450;ENSG00000117450,1,"Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana",2.67701732440673,0.952965010231331,0.952965010231331,mixed
Chloroplast/Plastid,ENSG00000170950,1,"Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana",1341.50717663703,5.65322483534646e-280,5.65322483534646e-279,up
