organelle,human_ensembl,unique_species,species_list,fisher_stat,fisher_p,fisher_padj,direction_conserved
Chloroplast/Plastid,ENSG00000170801,3,"Mus musculus,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",877.970384618602,1.33982834772319e-159,3.82808099349482e-159,up
Chloroplast/Plastid,ENSG00000291237,2,"Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Homo sapiens,Homo sapiens",458.081274933165,2.28713221927286e-87,3.81188703212143e-87,mixed
Chloroplast/Plastid,ENSG00000178445,6,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Mus musculus,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Caenorhabditis elegans,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",414.759245381006,8.43385700099699e-62,1.29751646169184e-61,mixed
Chloroplast/Plastid,ENSG00000121691,6,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Arabidopsis thaliana,Drosophila melanogaster,Drosophila melanogaster,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Drosophila melanogaster,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster,Drosophila melanogaster",277.133776948051,4.72193325631715e-27,6.29591100842287e-27,up
Chloroplast/Plastid,ENSG00000106080,5,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster",695.655526388394,2.55340833366525e-119,5.67424074147834e-119,up
Chloroplast/Plastid,ENSG00000181867,1,"Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana",88.4482543001546,9.85352920477891e-14,1.09483657830877e-13,up
Chloroplast/Plastid,ENSG00000135821,6,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",1731.86512755794,2.06736093694665e-308,3.18844434452995e-307,mixed
Chloroplast/Plastid,ENSG00000162129,4,"Mus musculus,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens",568.886845004632,1.5599993645117e-93,2.83636248093036e-93,up
Chloroplast/Plastid,ENSG00000197713,2,"Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Homo sapiens,Homo sapiens,Arabidopsis thaliana,Arabidopsis thaliana,Homo sapiens,Homo sapiens",1084.41310589349,3.78147659923807e-217,1.26049219974602e-216,up
Chloroplast/Plastid,ENSG00000148677,3,"Mus musculus,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",670.869618404525,1.28807472168637e-120,3.22018680421592e-120,mixed
Proteasome,ENSG00000125656,5,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster",1256.06956624168,2.56004394858514e-227,2.04803515886811e-226,up
Proteasome,ENSG00000175063,4,"Mus musculus,Mus musculus,Drosophila melanogaster,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Mus musculus,Mus musculus,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",189.787723658575,3.95790052831381e-25,1.58316021132553e-24,down
Proteasome,ENSG00000117399,3,"Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Mus musculus,Mus musculus,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens",118.017411514278,2.18469980799817e-14,3.49551969279708e-14,down
Proteasome,ENSG00000012048,2,"Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Mus musculus,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",81.5279116390193,9.06673648533387e-09,9.06673648533387e-09,down
Proteasome,ENSG00000105325,6,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",256.614009202857,1.54222786398505e-22,4.11260763729348e-22,down
Proteasome,ENSG00000138376,3,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Mus musculus,Homo sapiens,Homo sapiens,Caenorhabditis elegans,Mus musculus,Mus musculus,Caenorhabditis elegans,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",121.689765460928,5.30971744953904e-13,7.07962326605206e-13,mixed
Proteasome,ENSG00000051180,6,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",176.608951966411,1.78128459246079e-15,3.56256918492157e-15,mixed
Proteasome,ENSG00000108106,4,"Mus musculus,Mus musculus,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Mus musculus,Arabidopsis thaliana,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster",125.113649429652,2.38208069816267e-12,2.72237794075733e-12,down
Extracellular,ENSG00000080819,5,"Mus musculus,Mus musculus,Arabidopsis thaliana,Drosophila melanogaster,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Mus musculus,Arabidopsis thaliana,Mus musculus,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",72.4034154968373,0.000136681351946511,0.000202134393723713,mixed
Extracellular,ENSG00000145020,6,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",1215.92326032893,5.75080742199357e-219,1.50958694827331e-217,up
Extracellular,ENSG00000144381;ENSG00000144381,1,"Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana",1053.93319851228,1.92973758405235e-224,6.75408154418324e-223,up
Extracellular,ENSG00000168827,6,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",719.875705522852,4.96473717937147e-116,8.68829006390007e-115,up
Extracellular,ENSG00000111669,6,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",718.580260180416,2.71018860932241e-107,4.06528291398361e-106,mixed
Extracellular,ENSG00000117450;ENSG00000117450,1,"Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana",2.67701732440673,0.952965010231331,0.952965010231331,mixed
Extracellular,ENSG00000170950,1,"Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana",1341.50717663703,5.65322483534646e-280,2.96794303855689e-278,up
Extracellular,ENSG00000069431,5,"Mus musculus,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Drosophila melanogaster,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",230.433854811812,1.16257359627485e-23,8.13801517392395e-23,up
Extracellular,ENSG00000178445,6,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Mus musculus,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Caenorhabditis elegans,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",414.759245381006,8.43385700099699e-62,8.85554985104684e-61,mixed
Extracellular,ENSG00000122694,6,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Mus musculus,Arabidopsis thaliana,Mus musculus,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster,Drosophila melanogaster",179.61437236985,2.79365445492002e-20,1.5438616724558e-19,mixed
Extracellular,ENSG00000171724,3,"Mus musculus,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Mus musculus,Homo sapiens",477.197362086191,4.36933606634168e-74,5.0975587440653e-73,mixed
Extracellular,ENSG00000256269,5,"Mus musculus,Mus musculus,Arabidopsis thaliana,Drosophila melanogaster,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Mus musculus,Arabidopsis thaliana,Mus musculus,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",64.8055455429235,0.00112482989167686,0.00157476184834761,mixed
Extracellular,ENSG00000198951,5,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster",536.725935520831,4.71267208013286e-87,6.18538210517438e-86,up
Extracellular,ENSG00000135821,6,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Drosophila melanogaster,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Mus musculus,Caenorhabditis elegans,Mus musculus,Mus musculus,Saccharomyces cerevisiae,Homo sapiens,Homo sapiens,Drosophila melanogaster",1731.86512755794,2.06736093694665e-308,1.67393328087823e-306,mixed
Extracellular,ENSG00000197713,2,"Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Homo sapiens,Homo sapiens,Arabidopsis thaliana,Arabidopsis thaliana,Homo sapiens,Homo sapiens",1084.41310589349,3.78147659923807e-217,7.94110085839995e-216,up
Extracellular,ENSG00000134871,2,"Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Mus musculus,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",44.5106048947458,0.00306012778151796,0.0038712459886673,mixed
Extracellular,ENSG00000169031,2,"Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",41.5479585747798,0.00316593473100909,0.00395741841376136,mixed
Extracellular,ENSG00000188153,3,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Mus musculus,Homo sapiens,Homo sapiens,Caenorhabditis elegans,Mus musculus,Mus musculus,Caenorhabditis elegans,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",102.118093292387,8.5705865552283e-10,2.36818839026045e-09,mixed
Extracellular,ENSG00000197565,4,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Drosophila melanogaster,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster",200.71249818242,5.27257315178349e-24,3.95442986383762e-23,down
Extracellular,ENSG00000178726,4,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Drosophila melanogaster,Drosophila melanogaster,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Drosophila melanogaster",217.925610268029,3.39676291296075e-22,2.22912566163049e-21,down
Extracellular,ENSG00000053747,2,"Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Mus musculus,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",59.4151173991679,2.72646873298359e-05,4.33756389338299e-05,up
Extracellular,ENSG00000112769,2,"Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Mus musculus,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",16.064561124528,0.812668697639797,0.820482819732487,mixed
Extracellular,ENSG00000130702,4,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Drosophila melanogaster,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Mus musculus,Caenorhabditis elegans,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster",84.8303496837897,8.09941855157466e-06,1.47724123101841e-05,down
Extracellular,ENSG00000115705,3,"Drosophila melanogaster,Drosophila melanogaster,Homo sapiens,Homo sapiens,Drosophila melanogaster,Drosophila melanogaster,Mus musculus,Mus musculus,Homo sapiens,Drosophila melanogaster",87.3580610753401,2.13948647090764e-10,6.24016887348062e-10,down
Extracellular,ENSG00000187498,2,"Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Mus musculus,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",45.5350839497554,0.00226849348375618,0.00297739769742999,mixed
Extracellular,ENSG00000081052,3,"Mus musculus,Mus musculus,Drosophila melanogaster,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Mus musculus,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster",101.060692566719,3.40629975187478e-10,9.66652632288788e-10,down
Extracellular,ENSG00000188107,2,"Drosophila melanogaster,Homo sapiens,Drosophila melanogaster,Homo sapiens,Homo sapiens,Drosophila melanogaster",74.167052147463,5.27817160629205e-11,1.67941823836565e-10,down
Extracellular,ENSG00000105664,2,"Mus musculus,Mus musculus,Homo sapiens,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",13.0279847811992,0.670710524159769,0.68373402948326,mixed
Extracellular,ENSG00000137801,2,"Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Mus musculus,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",148.47433592256,9.27850613342254e-21,5.41246191116315e-20,up
Extracellular,ENSG00000186340,2,"Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Mus musculus,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",60.7772629909806,5.39513517127475e-06,1.0490540610812e-05,mixed
Extracellular,ENSG00000169231,2,"Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Mus musculus,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",19.351735963707,0.623519852894496,0.648213708454674,mixed
Extracellular,ENSG00000113296,3,"Mus musculus,Mus musculus,Drosophila melanogaster,Mus musculus,Homo sapiens,Drosophila melanogaster,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster",72.538456350366,8.96335541999347e-07,1.92071901857003e-06,down
Extracellular,ENSG00000137251,2,"Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",30.6064631515384,0.0606048101110478,0.0684247856092475,mixed
Extracellular,ENSG00000142910,4,"Mus musculus,Mus musculus,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,Drosophila melanogaster,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Mus musculus,Caenorhabditis elegans,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Drosophila melanogaster",137.331301340094,1.34698645259532e-12,4.71445258408363e-12,down
Extracellular,ENSG00000083444,2,"Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Mus musculus,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",26.3622608901556,0.236453755884408,0.255955096575906,mixed
Extracellular,ENSG00000152952,2,"Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens,Mus musculus,Mus musculus,Mus musculus,Mus musculus,Homo sapiens,Homo sapiens",56.9824678522206,6.17447215359341e-05,9.53411141363688e-05,up
