cofactor_id,cofactor_name,cofactor_function,rn,ec,hsa_gene,entrez
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00094,ec:1.8.1.7,hsa:2936,2936
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00100,ec:1.6.2.2,hsa:123956252,123956252
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00100,ec:1.6.2.2,hsa:1727,1727
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00100,ec:1.6.2.2,hsa:51167,51167
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00100,ec:1.6.2.2,hsa:51700,51700
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00100,ec:1.6.2.2,hsa:51706,51706
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00100,ec:1.6.2.2,hsa:606495,606495
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00102,ec:3.2.2.6,hsa:23098,23098
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00102,ec:3.2.2.6,hsa:683,683
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00102,ec:3.2.2.6,hsa:952,952
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00103,ec:3.6.1.22,hsa:25961,25961
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00103,ec:3.6.1.22,hsa:83594,83594
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00103,ec:3.6.1.9,hsa:5167,5167
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00103,ec:3.6.1.9,hsa:5169,5169
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00104,ec:2.7.1.23,hsa:133686,133686
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00104,ec:2.7.1.23,hsa:65220,65220
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00118,ec:3.1.3.108,hsa:25819,25819
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00137,ec:2.7.7.1,hsa:23057,23057
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00137,ec:2.7.7.1,hsa:349565,349565
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00137,ec:2.7.7.1,hsa:64802,64802
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00137,ec:2.7.7.18,hsa:23057,23057
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00137,ec:2.7.7.18,hsa:349565,349565
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00137,ec:2.7.7.18,hsa:64802,64802
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00145,ec:1.4.1.3,hsa:2746,2746
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00145,ec:1.4.1.3,hsa:2747,2747
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00189,ec:6.3.5.1,hsa:55191,55191
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00214,ec:1.1.1.38,hsa:4200,4200
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00243,ec:1.4.1.3,hsa:2746,2746
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00243,ec:1.4.1.3,hsa:2747,2747
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00245,ec:1.2.1.88,hsa:8659,8659
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00257,ec:6.3.5.1,hsa:55191,55191
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00286,ec:1.1.1.22,hsa:7358,7358
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00342,ec:1.1.1.37,hsa:4190,4190
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00342,ec:1.1.1.37,hsa:4191,4191
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00382,ec:6.5.1.6,hsa:3978,3978
C00003,NAD+,Oxidoreductase (hydride transfer),rn:R00538,ec:1.2.1.3,hsa:217,217
