organelle,n_orthologs,n_sig,n_conserved,n_up,n_down,min_padj
Nucleus,172,171,123,40,83,4.11378658714624e-62
Cytoskeleton,83,83,63,12,51,1.05054123933985e-128
Plasma membrane,80,76,59,28,31,1.61646641368607e-45
Mitochondrion,58,56,49,0,49,7.70252271445562e-68
Membrane transport,49,48,44,0,44,9.84939638982058e-39
Cell wall/Extracellular matrix,52,52,40,8,32,8.20366473417072e-129
Ribosome,32,32,31,15,16,4.55421412503686e-55
Extracellular,42,42,29,14,15,1.67393328087823e-306
Endoplasmic Reticulum,31,30,24,5,19,5.89862203738041e-307
Chloroplast/Plastid,14,14,9,9,0,3.18844434452995e-307
Peroxisome,6,6,6,6,0,8.44522741827853e-105
Proteasome,7,7,5,1,4,2.04803515886811e-226
Lipid particle,7,7,5,5,0,1.22538210045851e-21
Golgi apparatus,2,2,2,2,0,3.31130307281033e-130
